"Root_ID"	"GRRoot"	"IERoot"	"OldRoot_ID"	"alpha"	"Def"	"Note"	"Phonetic"
311	"κινέ"		5286	"κινε"	"move"		
312	"κλά"		5302	"κλα"	"break"		
313	"κλέπ-"		5318	"κλεπ-"	"steal"		
314	"κλῆρος"		5321	"κληρος"	"a lot, appoint by"		
315	"κλίν"		5329	"κλιν"	"lean"		
316	"κλύζ"		5335	"κλυζ"	"dash, flood"		
317	"κοῖλος"		5353	"κοιλος"	"hollow"		
318	"κοιμά"		5354	"κοιμα"	"put to sleep"		
319	"κοινός"		5359	"κοινος"	"common"		
320	"κόλαξ"		5375	"κολαξ"	"flatter"		
321	"κόλλα"		5379	"κολλα"	"glue"		
322	"κοπή"		5405	"κοπη"	"cut"		
323	"κράτος"		5461	"κρατος"	"authority"		
324	"κριθή"		5481	"κριθη"	"barley"		
325	"κρίν"		5483	"κριν"	"separate"		
326	"κρού"		5508	"κρου"	"strike"		
327	"κτείν"		5513	"κτειν"	"kill"		
328	"κύκλος"		5555	"κυκλος"	"circle"		
329	"κῦρος-"		5584	"κυρος-"	"lordly"		
330	"κωλύ"		5608	"κωλυ"	"hinder"		
331	"κωμῳδός"		5615	"κωμωδοδς"	"comedy"		
332	"λαβ"		5638	"λαβ"	"take"		
333	"λαθ"		5645	"λαθ"	"escape notice"		
334	"λαός"		5646	"λαος"	"people"		
335	"λεπτός"		5676	"λεπτος"	"peel"		
336	"λήγ"		5693	"ληγ"	"cease"		
337	"λόγος"		5767	"λογος"	"speech"		
338	"λού"		5777	"λου"	"wash"		
339	"λύπη"		5793	"λυπη"	"pain"		
340	"λυσιτελής"		5809	"λυσιτελης"	"pay what is due"		
341	"λύ"		5817	"λυ"	"loosen"		
342	"μάγειρος"		5828	"μαγειρος"	"cook"		
343	"μαιεία"		5841	"μαιεια"	"midwifery"		
344	"μάκαρ"		5848	"μακαρ"	"happiness"		
345	"μακρός"		5863	"μακρος"	"long"		
346	"μαλθακός"		5877	"μαλθακος"	"soft"		
347	"μαθ"		5882	"μαθ"	"understand"		
348	"μανία"		5883	"μανια"	"mania"		
349	"μαντεῖον"		5889	"μαντειον"	"prophecy"		
350	"μαραίν"		5899	"μαραιν"	"put out"		
351	"μάργος"		5901	"μαργος"	"raging mad"		
352	"μάρτυς"		5911	"μαρτυς"	"witness"		
353	"μάστιξ"		5916	"μαστιξ"	"whip"		
354	"μάχη"		5926	"μαχη"	"fight"		
355	"μέγας"		5950	"μεγας"	"great"		
356	"μέμφ"		6025	"μεμφ"	"blame"		
357	"μερίζ"		6038	"μεριζ"	"divide"		
358	"μηχανή"		6192	"μηχανη"	"mechanism"		
359	"μόνος"		6276	"μονος"	"alone"		
360	"νάρκη"		6364	"ναρκη"	"sleep"		
361	"ναῦς"		6373	"ναυς"	"ship"		
362	"νά"		6381	"να"	"flow"		
363	"νεῖκος"		6394	"νεικος"	"quarrel"		
364	"νέκυς"		6400	"νεκυς"	"corpse"		
365	"νέμ"		6406	"νεμ"	"allot, distribute"		
366	"νέος"		6411	"νεος"	"young"		
367	"νόμος"		6484	"νομος"	"law"		
368	"νόος"		6486	"νοος"	"mind"		
369	"νυστάζ"		6511	"νυσταζ"	"sleep"		
370	"ξένος"		6537	"ξενος"	"stranger"		
371	"ξηρός"		6548	"ξηρος"	"dry"		
372	"ξύλον"		6551	"ξυλον"	"wood"		
373	"ὄαρος"		6561	"οαρος"	"chat, talk"		
374	"ὁδός"		6571	"οδος"	"road"		
375	"ὀδύνη"		6575	"οδυνη"	"pain"		
376	"οἶδα"		6591	"οιδα"	"know"		
377	"οἶκος"		6628	"οικος"	"home"		
378	"οἶκτος"		6632	"οικτος"	"pitiful"		
379	"οἶνος"		6643	"οινος"	"wine"		
380	"οἴ"		6649	"οι"	"think"		
381	"οἶος"		6656	"οιος"	"alone"		
382	"ὄκνος"		6672	"οκνος"	"shrink, hesitate"		
383	"ὀλίγος"		6686	"ολιγος"	"small"		
384	"ὀλισθάν"		6691	"ολισθαν"	"smell"		
385	"ὅλοξ"		6699	"ολοξ"	"whole"		
386	"ὁμαλός"		6717	"ομαλος"	"even"		
387	"ὅμηρος"		6726	"ομηρος"	"pledge, hostage"		
388	"ὅμιλος"		6730	"ομιλος"	"crowd, company"		
389	"ὁμός"		6772	"ομος"	"same"		
390	"ὄνειρος"		6794	"ονειρος"	"dream"		
391	"ὄνομα"		6800	"ονομα"	"name"		
392	"ὄν"		6802	"ον"	"blame"		
393	"ὅπλον"		6836	"οπλον"	"weapon"		
394	"ὁρά"		6860	"ορα"	"see"		
395	"ὀρθός"		6884	"ορθος"	"straight"		
396	"ὅρκος"		6893	"ορκος"	"oath"		
397	"ὁρμή"		6899	"ορμη"	"urge"		
398	"ὄρνις"		6904	"ορνις"	"bird"		
399	"ὅρος"		6907	"ορος"	"boundary"		
400	"ὀρφανός"		6919	"ορφανος"	"orphan"		
401	"ὅσιος"		6932	"οσιος"	"pious"		
402	"οὐ"		6957	"ου"	"not"		
403	"οὖς"		6993	"ους"	"ear"		
404	"ὀφθαλμός"		7011	"οφθαλμος"	"eye"		
405	"ὀψέ"		7026	"οψε"	"late"		
406	"ὄψον"		7030	"οψον"	"food"		
407	"παγκρατιάζ"		7042	"παγκρατιαζ"	"brawl"		
408	"παῖς"		7084	"παις"	"child"		
409	"πάλη"		7100	"παλη"	"wrestling"		
410	"πάσσ"		7310	"πασσ"	"sprinkle"		
411	"πάσχ"		7311	"πασχ"	"experience"		
412	"παύ"		7334	"παυ"	"stop"		
413	"πείθ"		7349	"πειθ"	"persuade"		
414	"πεῖρα"		7352	"πειρα"	"attempt"		
415	"πέμπ"		7387	"πεμπ"	"send"		
416	"πεσσεία"		7534	"πεσσεια"	"draughts"		
417	"πέτρα"		7539	"πετρα"	"rock"		
418	"πηγή"		7550	"πηγη"	"spring"		
419	"πήγνυ"		7551	"πηγνυ"	"fix"		
420	"πηδά"		7555	"πηδα"	"jump"		
421	"πικρός"		7586	"πικρος"	"point"		
422	"πῖλος"		7594	"πιλος"	"wool"		
