SWord_ID1	SWord_ID2
6345	6025
6345	6802
6345	10218
6381	6331
6381	8319
6491	9518
6492	1914
6492	2309
6492	9517
6493	9519
6510	7358
6510	9275
6510	9469
6511	3987
6511	5002
6511	5354
6511	9625
6537	6588
6567	7604
6567	8275
6567	9195
6571	5196
6571	6638
6575	396
6575	2734
6575	5793
6576	393
6576	3697
6576	5794
6576	7823
6576	10041
6577	2049
6577	2120
6577	5300
6577	6702
6577	7389
6588	6537
6591	2019
6591	3717
6637	1014
6637	1503
6637	3118
6637	3811
6637	4596
6637	6019
6637	9540
6637	10268
6638	6571
6691	9085
6702	2049
6702	2120
6702	5300
6702	6577
6702	7389
6734	6894
6789	3366
6789	6794
6791	6026
6794	6789
6802	297
6802	6025
6802	6345
6802	10218
6860	225
6860	1849
6860	2906
6860	4527
6860	8501
6861	5870
6861	5874
6861	7885
6861	9472
6861	10138
6870	9219
6894	6734
6897	3108
6897	4692
6897	5286
6897	7382
6897	8402
6905	9306
6905	9987
6905	10002
7025	10026
7226	4460
7226	5411
7226	5508
7226	7688
7226	8737
7226	9482
7259	9306
7259	9987
7259	10002
7310	8298
7310	8460
7339	1349
7339	2207
7339	9097
7339	9164
7358	6510
7358	9275
7358	9469
7382	3108
7382	4692
7382	5286
7382	6897
7382	8402
7389	2049
7389	2120
7389	5300
7389	6577
7389	6702
7390	858
7391	2181
7391	3264
7391	10118
7391	10165
7391	10168
7555	8493
7595	6062
7604	6567
7604	8275
7604	9195
7659	6061
7688	4460
7688	5411
7688	5508
7688	7226
7688	8737
7688	9482
7700	1238
7700	5777
7720	4725
7720	7722
7722	4725
7722	7720
7725	8314
7823	393
7823	3697
7823	5794
7823	6576
7823	10041
7878	1045
7878	5877
7885	5870
7885	10138
8209	9085
8223	738
8223	2143
8223	2150
8223	3092
8223	6286
8223	8224
8224	738
8224	2143
8224	2150
8224	3092
8224	6286
8224	8223
8251	8394
8251	9927
8251	9934
8275	6567
8275	7604
8275	9195
8281	5562
8298	7310
8298	8460
8311	192
8314	7725
8319	6331
8319	6381
8340	1773
8340	4692
8359	1816
8359	2736
8359	4817
8359	4971
8359	5461
8359	6031
8359	8414
8360	8415
8392	1902
8394	8251
8394	9927
8394	9934
8402	3108
8402	4542
8402	4548
8402	4833
8402	5286
8402	6897
8402	7382
8405	9230
8414	1816
8414	2736
8414	4817
8414	4971
8414	5461
8414	6031
8414	8359
8415	8360
8419	8454
8426	8542
8454	8419
8460	7310
8460	8298
8477	8653
8481	8519
8493	7555
8501	225
8501	1849
8501	2906
8501	4527
8501	6860
8519	8481
8530	9500
8542	8426
8616	1761
8622	35
8622	3823
8622	9852
8639	5729
8653	8477
8676	9402
8683	4062
8683	5328
8683	5369
8737	4460
8737	5411
8737	5508
8737	7226
8737	7688
8737	9482
8752	4894
8756	46
8756	228
8756	8757
8756	8830
8756	8859
8757	46
8757	228
8757	8757
8757	8830
8757	8859
8778	6172
8830	46
8830	228
8830	8756
8830	8757
8830	8859
8859	46
8859	228
8859	8757
8859	8830
8859	8859
9079	1211
9079	5513
9085	6691
9085	8209
9097	1349
9097	2207
9097	9097
9097	9164
9164	1349
9164	2207
9164	2517
9164	9097
9191	5549
9195	6567
9195	7604
9195	8275
9219	6870
9230	8405
9257	4431
9261	3745
9263	767
9263	4140
9263	10037
9264	4284
9264	4285
9264	10067
9275	6510
9275	7358
9275	9469
9306	6905
9306	9987
9306	10002
9311	5189
9402	8676
9405	4526
9407	9810
9420	10237
9424	1853
9424	4590
9424	5017
9424	9811
9469	6510
9469	7358
9469	9275
9473	1046
9473	5868
9473	5872
9475	5581
9482	4460
9482	5411
9482	5508
9482	7226
9482	7688
9482	8737
9494	4462
9494	4610
9500	8530
9505	5729
9517	1914
9517	2309
9517	6492
9518	6491
9519	6493
9531	10010
9540	1014
9540	1503
9540	3118
9540	3811
9540	4596
9540	6019
9540	6637
9540	10268
9568	2922
9568	10210
9625	3987
9625	5002
9625	5354
9625	6511
9741	2267
9741	3908
9782	5657
9795	9764
9810	2649
9810	9407
9811	1853
9811	4590
9811	5017
9811	9424
9815	1756
9815	2042
9815	2935
9815	3899
9815	5657
9819	1865
9819	4399
9819	10025
9819	10244
9822	1211
9830	4400
9830	4401
9830	10026
9830	10246
9852	35
9852	3823
9852	8622
9863	36
9863	3901
9927	8394
9927	9934
9934	8251
9934	8394
9934	9927
9935	5706
9937	2148
9950	5405
9965	2145
9987	7259
9987	9306
9987	10002
10002	6905
10002	9306
10002	9987
10008	6199
10008	10009
10009	6199
10009	10008
10010	9531
10025	1865
10025	4399
10025	5299
10025	9819
10025	10244
10026	4400
10026	4401
10026	7025
10026	9830
10026	10246
10037	4282
10041	393
10041	3697
10041	5794
10041	6576
10041	7823
10064	4062
10064	5328
10064	5369
10064	8683
10067	4284
10067	4285
10067	9264
10113	5659
10118	2181
10118	3264
10118	7391
10118	10165
10118	10168
10138	5870
10138	5874
10138	6861
10138	7885
10161	2081
10161	5340
10165	2181
10165	3264
10165	7391
10165	10118
10165	10168
10168	2181
10168	3264
10168	7391
10168	10118
10168	10165
10168	10168
10204	10206
10206	10204
10210	2922
10210	9568
10218	297
10218	6025
10218	6345
10218	6802
10220	6024
10237	9420
10244	1865
10244	4399
10244	5299
10244	9819
10244	10025
10271	396
10271	2734
10271	5793
10271	6575
