Word_ID	Dialog ID	pword_id
5398	1	5457
5398	2	5457
5398	6	5457
5398	10	5457
5398	17	5457
5398	19	5457
5398	22	5457
5398	26	5457
5398	27	5457
5398	28	5457
5398	29	5457
5398	30	5457
5398	32	5457
5398	33	5457
5398	36	5457
5399	7	5458
5399	17	5458
5399	26	5458
5399	30	5458
5399	36	5458
5400	1	5459
5400	17	5459
5400	30	5459
5401	2	5460
5401	6	5460
5401	10	5460
5401	11	5460
5401	12	5460
5401	13	5460
5401	17	5460
5401	24	5460
5401	27	5460
5401	28	5460
5401	29	5460
5401	30	5460
5401	32	5460
5401	35	5460
5401	36	5460
5402	5	5461
5402	17	5461
5402	19	5461
5402	22	5461
5402	27	5461
5402	30	5461
5402	32	5461
5402	33	5461
5402	36	5461
5403	6	5462
5404	6	5463
5405	6	5464
5406	6	5465
5407	6	5466
5408	6	5467
5408	17	5467
5408	19	5467
5408	22	5467
5408	27	5467
5408	28	5467
5408	30	5467
5408	33	5467
5408	36	5467
5409	36	5468
5410	4	5469
5410	10	5469
5410	17	5469
5410	21	5469
5410	30	5469
5411	3	5470
5411	5	5470
5411	9	5470
5411	10	5470
5411	12	5470
5411	13	5470
5411	16	5470
5411	17	5470
5411	18	5470
5411	19	5470
5411	27	5470
5411	28	5470
5411	29	5470
5411	30	5470
5411	31	5470
5411	32	5470
5411	33	5470
5411	34	5470
5411	36	5470
5412	17	5472
5412	34	5472
5413	1	5474
5414	7	5475
5414	15	5475
5414	17	5475
5414	21	5475
5414	26	5475
5414	27	5475
5414	28	5475
5414	32	5475
5414	36	5475
5415	17	5476
5415	32	5476
5416	17	5477
5416	24	5477
5416	29	5477
5416	30	5477
5417	9	5478
5417	24	5478
5418	8	5479
5418	17	5479
5418	24	5479
5418	26	5479
5418	29	5479
5419	5	5480
5419	6	5480
5419	16	5480
5419	17	5480
5419	22	5480
5419	30	5480
5420	5	5481
5420	17	5481
5420	22	5481
5420	30	5481
5421	17	5482
5421	19	5482
5421	26	5482
5421	30	5482
5422	3	5483
5422	6	5483
5422	8	5483
5422	10	5483
5422	12	5483
5422	13	5483
5422	15	5483
5422	16	5483
5422	17	5483
5422	19	5483
5422	26	5483
5422	27	5483
5422	28	5483
5422	29	5483
5422	30	5483
5422	31	5483
5422	32	5483
5422	34	5483
5422	36	5483
5423	3	5484
5423	11	5484
5423	12	5484
5423	17	5484
5423	19	5484
5423	22	5484
5423	27	5484
5423	28	5484
5423	30	5484
5423	31	5484
5423	32	5484
5423	34	5484
5424	17	5485
5424	29	5485
5425	29	5486
5426	12	5487
5427	17	5488
5427	30	5488
5427	34	5488
5428	7	5489
5428	12	5489
5428	15	5489
5428	17	5489
5428	19	5489
5428	26	5489
5428	28	5489
5428	30	5489
5428	34	5489
5428	36	5489
5429	32	5491
5430	7	5493
5430	12	5493
5430	15	5493
5430	17	5493
5430	19	5493
5430	26	5493
5430	30	5493
5430	34	5493
5430	36	5493
5431	3	5494
5431	8	5494
5431	10	5494
5431	26	5494
5432	26	5495
5433	8	5496
5433	26	5496
5434	10	5497
5435	6	5498
5435	32	5498
5436	32	5499
5437	32	5500
5438	16	5501
5439	15	5502
5440	21	5503
5441	6	5504
5441	9	5504
5441	10	5504
5441	11	5504
5441	12	5504
5441	14	5504
5441	17	5504
5441	24	5504
5441	30	5504
5441	32	5504
5441	33	5504
5441	36	5504
5442	10	5505
5442	30	5505
5443	16	5506
5443	17	5506
5444	1	5507
5444	24	5507
5444	30	5507
5445	3	5508
5445	6	5508
5445	13	5508
5445	21	5508
5445	29	5508
5445	30	5508
5445	33	5508
5445	34	5508
5446	17	5509
5446	28	5509
5446	30	5509
5447	33	5510
5447	36	5510
5448	31	5511
5448	36	5511
5449	1	5512
5449	2	5512
5449	3	5512
5449	4	5512
5449	5	5512
5449	6	5512
5449	7	5512
5449	9	5512
5449	10	5512
5449	12	5512
5449	14	5512
5449	16	5512
5449	17	5512
5449	18	5512
5449	19	5512
5449	20	5512
5449	21	5512
5449	22	5512
5449	23	5512
5449	26	5512
5449	27	5512
5449	28	5512
5449	29	5512
5449	30	5512
5449	31	5512
5449	32	5512
5449	33	5512
5449	34	5512
5449	36	5512
5450	1	5513
5450	2	5513
5450	3	5513
5450	5	5513
5450	9	5513
5450	10	5513
5450	11	5513
5450	12	5513
5450	17	5513
5450	18	5513
5450	19	5513
5450	21	5513
5450	22	5513
5450	26	5513
5450	27	5513
5450	29	5513
5450	30	5513
5450	32	5513
5450	33	5513
5450	34	5513
5451	1	5514
5451	2	5514
5451	3	5514
5451	4	5514
5451	5	5514
5451	6	5514
5451	7	5514
5451	9	5514
5451	10	5514
5451	12	5514
5451	14	5514
5451	16	5514
5451	17	5514
5451	18	5514
5451	19	5514
5451	20	5514
5451	21	5514
5451	22	5514
5451	23	5514
5451	26	5514
5451	27	5514
5451	28	5514
5451	29	5514
5451	30	5514
5451	31	5514
5451	32	5514
5451	33	5514
5451	34	5514
5451	36	5514
5452	2	5515
5452	5	5515
5452	7	5515
5452	10	5515
5452	12	5515
5452	13	5515
5452	14	5515
5452	15	5515
5452	16	5515
5452	17	5515
5452	21	5515
5452	22	5515
5452	26	5515
5452	27	5515
5452	28	5515
5452	30	5515
5452	32	5515
5452	33	5515
5452	36	5515
5453	7	5516
5454	10	5517
5454	21	5517
5454	26	5517
5455	1	5518
5455	2	5518
5455	3	5518
5455	6	5518
5455	9	5518
5455	10	5518
5455	12	5518
5455	17	5518
5455	19	5518
5455	21	5518
5455	22	5518
5455	26	5518
5455	27	5518
5455	30	5518
5455	31	5518
5455	32	5518
5455	33	5518
5455	34	5518
5455	36	5518
5456	1	5519
5456	17	5519
5456	30	5519
5457	31	5520
5458	17	5521
5458	18	5521
5458	29	5521
5458	30	5521
5458	32	5521
5458	33	5521
5459	13	5522
5459	17	5522
5459	29	5522
5460	7	5523
5460	30	5523
5461	7	5524
5462	7	5525
5462	36	5525
5463	26	5528
5464	27	5529
5465	27	5530
5466	1	5531
5466	5	5531
5466	7	5531
5466	10	5531
5466	12	5531
5466	14	5531
5466	17	5531
5466	18	5531
5466	29	5531
5466	30	5531
5466	32	5531
5466	33	5531
5466	35	5531
5467	18	5532
5467	30	5532
5468	1	5533
5468	2	5533
5468	4	5533
5468	5	5533
5468	6	5533
5468	9	5533
5468	10	5533
5468	12	5533
5468	14	5533
5468	15	5533
5468	17	5533
5468	19	5533
5468	20	5533
5468	27	5533
5468	29	5533
5468	30	5533
5468	32	5533
5468	33	5533
5469	1	5534
5469	4	5534
5469	5	5534
5469	9	5534
